day,hour,value
2022-09-01,0,299.59073
2022-09-01,0,299.59073
2022-09-01,1,300.10547
2022-09-01,1,300.10547
2022-09-01,2,300.5569
2022-09-01,2,300.5569
2022-09-01,3,300.92847
2022-09-01,3,300.92847
2022-09-01,4,301.2514
2022-09-01,4,301.2514
2022-09-01,5,301.42908
2022-09-01,5,301.42908
2022-09-01,6,301.4822
2022-09-01,6,301.4822
2022-09-01,7,301.4103
2022-09-01,7,301.4103
2022-09-01,8,301.19385
2022-09-01,8,301.19385
2022-09-01,9,300.83942
2022-09-01,9,300.83942
2022-09-01,10,300.47256
2022-09-01,10,300.47256
2022-09-01,11,300.20645
2022-09-01,11,300.20645
2022-09-01,12,300.00693
2022-09-01,12,300.00693
2022-09-01,13,299.87128
2022-09-01,13,299.87128
2022-09-01,14,299.74835
2022-09-01,14,299.74835
2022-09-01,15,299.61847
2022-09-01,15,299.61847
2022-09-01,16,299.46423
2022-09-01,16,299.46423
2022-09-01,17,299.3286
2022-09-01,17,299.3286
2022-09-01,18,299.2216
2022-09-01,18,299.2216
2022-09-01,19,299.14493
2022-09-01,19,299.14493
2022-09-01,20,299.10767
2022-09-01,20,299.10767
2022-09-01,21,299.09692
2022-09-01,21,299.09692
2022-09-01,22,299.0972
2022-09-01,22,299.0972
2022-09-01,23,299.22116
2022-09-01,23,299.22116
2022-09-02,0,299.63135
2022-09-02,0,299.63135
2022-09-02,1,300.09225
2022-09-02,1,300.09225
2022-09-02,2,300.5113
2022-09-02,2,300.5113
2022-09-02,3,300.85342
2022-09-02,3,300.85342
2022-09-02,4,301.07312
2022-09-02,4,301.07312
2022-09-02,5,301.18057
2022-09-02,5,301.18057
2022-09-02,6,301.19952
2022-09-02,6,301.19952
2022-09-02,7,301.09686
2022-09-02,7,301.09686
2022-09-02,8,300.87222
2022-09-02,8,300.87222
2022-09-02,9,300.5806
2022-09-02,9,300.5806
2022-09-02,10,300.2952
2022-09-02,10,300.2952
2022-09-02,11,300.08554
2022-09-02,11,300.08554
2022-09-02,12,299.92606
2022-09-02,12,299.92606
2022-09-02,13,299.7978
2022-09-02,13,299.7978
2022-09-02,14,299.6788
2022-09-02,14,299.6788
2022-09-02,15,299.54306
2022-09-02,15,299.54306
2022-09-02,16,299.388
2022-09-02,16,299.388
2022-09-02,17,299.2638
2022-09-02,17,299.2638
2022-09-02,18,299.17508
2022-09-02,18,299.17508
2022-09-02,19,299.12964
2022-09-02,19,299.12964
2022-09-02,20,299.0963
2022-09-02,20,299.0963
2022-09-02,21,299.08838
2022-09-02,21,299.08838
2022-09-02,22,299.07272
2022-09-02,22,299.07272
2022-09-02,23,299.16125
2022-09-02,23,299.16125
2022-09-03,0,299.5185
2022-09-03,0,299.5185
2022-09-03,1,299.9288
2022-09-03,1,299.9288
2022-09-03,2,300.33658
2022-09-03,2,300.33658
2022-09-03,3,300.68076
2022-09-03,3,300.68076
2022-09-03,4,300.97412
2022-09-03,4,300.97412
2022-09-03,5,301.13824
2022-09-03,5,301.13824
2022-09-03,6,301.18475
2022-09-03,6,301.18475
2022-09-03,7,301.10898
2022-09-03,7,301.10898
2022-09-03,8,300.88492
