day,hour,value
2022-09-01,0,1.8383089
2022-09-01,0,1.8383089
2022-09-01,1,1.9213437
2022-09-01,1,1.9213437
2022-09-01,2,2.0910244
2022-09-01,2,2.0910244
2022-09-01,3,2.3215628
2022-09-01,3,2.3215628
2022-09-01,4,2.530822
2022-09-01,4,2.530822
2022-09-01,5,2.7026646
2022-09-01,5,2.7026646
2022-09-01,6,2.7975323
2022-09-01,6,2.7975323
2022-09-01,7,2.795429
2022-09-01,7,2.795429
2022-09-01,8,2.6792817
2022-09-01,8,2.6792817
2022-09-01,9,2.349781
2022-09-01,9,2.349781
2022-09-01,10,2.1199107
2022-09-01,10,2.1199107
2022-09-01,11,2.0286486
2022-09-01,11,2.0286486
2022-09-01,12,1.952679
2022-09-01,12,1.952679
2022-09-01,13,1.9263074
2022-09-01,13,1.9263074
2022-09-01,14,1.9653975
2022-09-01,14,1.9653975
2022-09-01,15,2.1104045
2022-09-01,15,2.1104045
2022-09-01,16,2.2736554
2022-09-01,16,2.2736554
2022-09-01,17,2.3575482
2022-09-01,17,2.3575482
2022-09-01,18,2.394173
2022-09-01,18,2.394173
2022-09-01,19,2.397771
2022-09-01,19,2.397771
2022-09-01,20,2.3765464
2022-09-01,20,2.3765464
2022-09-01,21,2.2632308
2022-09-01,21,2.2632308
2022-09-01,22,2.1996622
2022-09-01,22,2.1996622
2022-09-01,23,2.277115
2022-09-01,23,2.277115
2022-09-02,0,2.4498684
2022-09-02,0,2.4498684
2022-09-02,1,2.683134
2022-09-02,1,2.683134
2022-09-02,2,2.8930874
2022-09-02,2,2.8930874
2022-09-02,3,3.1078734
2022-09-02,3,3.1078734
2022-09-02,4,3.3043633
2022-09-02,4,3.3043633
2022-09-02,5,3.4224277
2022-09-02,5,3.4224277
2022-09-02,6,3.4529305
2022-09-02,6,3.4529305
2022-09-02,7,3.3918312
2022-09-02,7,3.3918312
2022-09-02,8,3.2015705
2022-09-02,8,3.2015705
2022-09-02,9,2.828061
2022-09-02,9,2.828061
2022-09-02,10,2.5262668
2022-09-02,10,2.5262668
2022-09-02,11,2.3372788
2022-09-02,11,2.3372788
2022-09-02,12,2.206909
2022-09-02,12,2.206909
2022-09-02,13,2.119857
2022-09-02,13,2.119857
2022-09-02,14,2.1023643
2022-09-02,14,2.1023643
2022-09-02,15,2.255509
2022-09-02,15,2.255509
2022-09-02,16,2.47399
2022-09-02,16,2.47399
2022-09-02,17,2.6144495
2022-09-02,17,2.6144495
2022-09-02,18,2.6333473
2022-09-02,18,2.6333473
2022-09-02,19,2.5772943
2022-09-02,19,2.5772943
2022-09-02,20,2.4597719
2022-09-02,20,2.4597719
2022-09-02,21,2.3046858
2022-09-02,21,2.3046858
2022-09-02,22,2.1842544
2022-09-02,22,2.1842544
2022-09-02,23,2.1625903
2022-09-02,23,2.1625903
2022-09-03,0,2.2324927
2022-09-03,0,2.2324927
2022-09-03,1,2.4137118
2022-09-03,1,2.4137118
2022-09-03,2,2.597639
2022-09-03,2,2.597639
2022-09-03,3,2.7974198
2022-09-03,3,2.7974198
2022-09-03,4,2.9747245
2022-09-03,4,2.9747245
2022-09-03,5,3.0719001
2022-09-03,5,3.0719001
2022-09-03,6,3.0838988
2022-09-03,6,3.0838988
2022-09-03,7,2.988532
2022-09-03,7,2.988532
2022-09-03,8,2.7731113
2022-09-03,8,2.7731113
2022-09-03,9,2.4242754
2022-09-03,9,2.4242754
2022-09-03,10,2.181618
2022-09-03,10,2.181618
2022-09-03,11,2.0390136
2022-09-03,11,2.0390136
2022-09-03,12,1.934849
2022-09-03,12,1.934849
2022-09-03,13,1.856358
2022-09-03,13,1.856358
2022-09-03,14,1.820032
2022-09-03,14,1.820032
2022-09-03,15,1.8753682
2022-09-03,15,1.8753682
2022-09-03,16,1.9369664
2022-09-03,16,1.9369664
2022-09-03,17,1.9649401
2022-09-03,17,1.9649401
2022-09-03,18,1.9326123
2022-09-03,18,1.9326123
2022-09-03,19,1.8458333
2022-09-03,19,1.8458333
2022-09-03,20,1.7339414
2022-09-03,20,1.7339414
2022-09-03,21,1.6186045
2022-09-03,21,1.6186045
2022-09-03,22,1.5190555
2022-09-03,22,1.5190555
2022-09-03,23,1.4977144
2022-09-03,23,1.4977144
2022-09-04,0,1.6038544
2022-09-04,0,1.6038544
2022-09-04,1,1.794246
2022-09-04,1,1.794246
2022-09-04,2,1.9949558
2022-09-04,2,1.9949558
2022-09-04,3,2.1406662
2022-09-04,3,2.1406662
2022-09-04,4,2.1941106
2022-09-04,4,2.1941106
2022-09-04,5,2.1904829
2022-09-04,5,2.1904829
2022-09-04,6,2.1416838
2022-09-04,6,2.1416838
2022-09-04,7,2.0267267
2022-09-04,7,2.0267267
2022-09-04,8,1.8282905
2022-09-04,8,1.8282905
2022-09-04,9,1.5697633
2022-09-04,9,1.5697633
2022-09-04,10,1.4141935
2022-09-04,10,1.4141935
2022-09-04,11,1.3452762
2022-09-04,11,1.3452762
2022-09-04,12,1.3337438
2022-09-04,12,1.3337438
2022-09-04,13,1.4111638
2022-09-04,13,1.4111638
2022-09-04,14,1.587169
2022-09-04,14,1.587169
2022-09-04,15,1.7334688
2022-09-04,15,1.7334688
2022-09-04,16,1.8057956
2022-09-04,16,1.8057956
2022-09-04,17,1.8390863
2022-09-04,17,1.8390863
2022-09-04,18,1.8710617
2022-09-04,18,1.8710617
2022-09-04,19,1.9105552
2022-09-04,19,1.9105552
2022-09-04,20,1.9446259
2022-09-04,20,1.9446259
2022-09-04,21,1.8975481
2022-09-04,21,1.8975481
2022-09-04,22,1.7763586
2022-09-04,22,1.7763586
2022-09-04,23,1.8006026
2022-09-04,23,1.8006026
2022-09-05,0,1.8137633
2022-09-05,0,1.8137633
2022-09-05,1,1.8034322
2022-09-05,1,1.8034322
2022-09-05,2,1.7461485
2022-09-05,2,1.7461485
2022-09-05,3,1.7476959
2022-09-05,3,1.7476959
2022-09-05,4,1.8205186
2022-09-05,4,1.8205186
2022-09-05,5,1.8434452
