day,hour,value
2022-09-01,0,1.3765924
2022-09-01,0,1.3765924
2022-09-01,1,1.4191033
2022-09-01,1,1.4191033
2022-09-01,2,1.4158466
2022-09-01,2,1.4158466
2022-09-01,3,1.4173163
2022-09-01,3,1.4173163
2022-09-01,4,1.431108
2022-09-01,4,1.431108
2022-09-01,5,1.4234046
2022-09-01,5,1.4234046
2022-09-01,6,1.3992422
2022-09-01,6,1.3992422
2022-09-01,7,1.3632498
2022-09-01,7,1.3632498
2022-09-01,8,1.3175895
2022-09-01,8,1.3175895
2022-09-01,9,1.2763594
2022-09-01,9,1.2763594
2022-09-01,10,1.3685298
2022-09-01,10,1.3685298
2022-09-01,11,1.5218601
2022-09-01,11,1.5218601
2022-09-01,12,1.6721698
2022-09-01,12,1.6721698
2022-09-01,13,1.823329
2022-09-01,13,1.823329
2022-09-01,14,1.9791708
2022-09-01,14,1.9791708
2022-09-01,15,2.08296
2022-09-01,15,2.08296
2022-09-01,16,2.1436253
2022-09-01,16,2.1436253
2022-09-01,17,2.1779258
2022-09-01,17,2.1779258
2022-09-01,18,2.198909
2022-09-01,18,2.198909
2022-09-01,19,2.2163193
2022-09-01,19,2.2163193
2022-09-01,20,2.2404068
2022-09-01,20,2.2404068
2022-09-01,21,2.2695222
2022-09-01,21,2.2695222
2022-09-01,22,2.3894465
2022-09-01,22,2.3894465
2022-09-01,23,2.6870568
2022-09-01,23,2.6870568
2022-09-02,0,2.88058
2022-09-02,0,2.88058
2022-09-02,1,2.9758568
2022-09-02,1,2.9758568
2022-09-02,2,3.0015624
2022-09-02,2,3.0015624
2022-09-02,3,3.0322518
2022-09-02,3,3.0322518
2022-09-02,4,3.0247488
2022-09-02,4,3.0247488
2022-09-02,5,2.9840584
2022-09-02,5,2.9840584
2022-09-02,6,2.914173
2022-09-02,6,2.914173
2022-09-02,7,2.7843568
2022-09-02,7,2.7843568
2022-09-02,8,2.5893087
2022-09-02,8,2.5893087
2022-09-02,9,2.322827
2022-09-02,9,2.322827
2022-09-02,10,2.2566743
2022-09-02,10,2.2566743
2022-09-02,11,2.3468428
2022-09-02,11,2.3468428
2022-09-02,12,2.4791234
2022-09-02,12,2.4791234
2022-09-02,13,2.6103556
2022-09-02,13,2.6103556
2022-09-02,14,2.721837
2022-09-02,14,2.721837
2022-09-02,15,2.7392123
2022-09-02,15,2.7392123
2022-09-02,16,2.6877272
2022-09-02,16,2.6877272
2022-09-02,17,2.6037755
2022-09-02,17,2.6037755
2022-09-02,18,2.5156507
2022-09-02,18,2.5156507
2022-09-02,19,2.4275894
2022-09-02,19,2.4275894
2022-09-02,20,2.3237293
2022-09-02,20,2.3237293
2022-09-02,21,2.285732
2022-09-02,21,2.285732
2022-09-02,22,2.3791685
2022-09-02,22,2.3791685
2022-09-02,23,2.6844232
2022-09-02,23,2.6844232
2022-09-03,0,2.9245822
2022-09-03,0,2.9245822
2022-09-03,1,3.1045907
2022-09-03,1,3.1045907
2022-09-03,2,3.226834
2022-09-03,2,3.226834
2022-09-03,3,3.2926161
2022-09-03,3,3.2926161
2022-09-03,4,3.2735007
2022-09-03,4,3.2735007
2022-09-03,5,3.162705
2022-09-03,5,3.162705
2022-09-03,6,3.007691
2022-09-03,6,3.007691
2022-09-03,7,2.8115816
2022-09-03,7,2.8115816
2022-09-03,8,2.5730937
2022-09-03,8,2.5730937
2022-09-03,9,2.3159962
2022-09-03,9,2.3159962
2022-09-03,10,2.2302155
2022-09-03,10,2.2302155
2022-09-03,11,2.2359726
2022-09-03,11,2.2359726
2022-09-03,12,2.2650192
2022-09-03,12,2.2650192
2022-09-03,13,2.3041542
2022-09-03,13,2.3041542
2022-09-03,14,2.344244
2022-09-03,14,2.344244
2022-09-03,15,2.3478618
2022-09-03,15,2.3478618
2022-09-03,16,2.317313
2022-09-03,16,2.317313
2022-09-03,17,2.2743065
2022-09-03,17,2.2743065
2022-09-03,18,2.2534146
2022-09-03,18,2.2534146
2022-09-03,19,2.287895
2022-09-03,19,2.287895
2022-09-03,20,2.3540874
2022-09-03,20,2.3540874
2022-09-03,21,2.3870006
2022-09-03,21,2.3870006
2022-09-03,22,2.4359636
2022-09-03,22,2.4359636
2022-09-03,23,2.6532264
2022-09-03,23,2.6532264
2022-09-04,0,2.7835155
2022-09-04,0,2.7835155
2022-09-04,1,2.8608165
2022-09-04,1,2.8608165
2022-09-04,2,2.8774524
2022-09-04,2,2.8774524
2022-09-04,3,2.8825207
2022-09-04,3,2.8825207
2022-09-04,4,2.8571634
2022-09-04,4,2.8571634
2022-09-04,5,2.786047
2022-09-04,5,2.786047
2022-09-04,6,2.7066698
2022-09-04,6,2.7066698
2022-09-04,7,2.6141963
2022-09-04,7,2.6141963
2022-09-04,8,2.4966266
2022-09-04,8,2.4966266
2022-09-04,9,2.2326202
2022-09-04,9,2.2326202
2022-09-04,10,2.0961287
2022-09-04,10,2.0961287
2022-09-04,11,2.0683258
2022-09-04,11,2.0683258
2022-09-04,12,2.055593
2022-09-04,12,2.055593
2022-09-04,13,2.03704
2022-09-04,13,2.03704
2022-09-04,14,1.9900899
2022-09-04,14,1.9900899
2022-09-04,15,1.9692538
2022-09-04,15,1.9692538
2022-09-04,16,1.9455768
2022-09-04,16,1.9455768
2022-09-04,17,1.8729974
2022-09-04,17,1.8729974
2022-09-04,18,1.7882795
